geoid,county_name,is_independent_city,aland_sqmi,region,total_population,households,median_hh_income,per_capita_income,median_age,pop_density_sqmi,pop_growth_pct,mhi_growth_pct,mhi_growth_real_pct,max_aadt,interstate_max_aadt,interstate_miles,vmt_proxy,establishments_all,gas_stations,food_service_estabs,gas_stations_per_10k,dist_interstate_mi,dist_open_bucees_mi,dist_any_bucees_mi,interstate_crosses_county
51001,Accomack County,0,449.3197838846559,,33326,14302,57500.0,33213.0,47.5,74.2,1.78,33.07,9.66,22000.0,,,1766328.8767830143,711,29.0,74.0,8.7,63.62483847049901,184.14125800002392,77.08668337521483,False
51003,Albemarle County,0,720.4718479413874,,113683,45064,102617.0,57490.0,39.8,157.8,6.89,36.11,12.17,59000.0,55000.0,58.76980365428629,6096739.692146466,2963,31.0,186.0,2.73,0.044072076981192594,30.514987039900056,30.514987039900056,True
51005,Alleghany County,0,446.5721623911052,,14962,6292,55160.0,30925.0,48.1,33.5,-2.12,15.41,-4.89,18000.0,18000.0,86.37226917983855,1187945.996828857,241,9.0,23.0,6.02,0.3821545905023882,70.78700619733439,70.78700619733439,True
51007,Amelia County,0,355.3604517823824,,13342,5285,66339.0,33626.0,44.8,37.5,3.8,13.35,-6.59,17000.0,,,795878.8299575978,273,10.0,9.0,7.5,27.86237836762968,87.46254634273105,54.891912509805515,False
51009,Amherst County,0,473.9614927578756,,31385,12702,67298.0,36275.0,43.3,66.2,-1.56,36.87,12.79,31000.0,,,1485765.091793966,553,16.0,40.0,5.1,17.867202086473757,53.14586214685882,53.14586214685882,False
51011,Appomattox County,0,334.2235485736268,,16424,6563,62337.0,33468.0,43.3,49.1,5.44,10.97,-8.55,18000.0,,,670471.2094747971,319,11.0,18.0,6.7,41.988351618487414,68.11646653850154,68.11646653850154,False
51013,Arlington County,0,25.997413552321238,,235463,111530,140160.0,88024.0,35.5,9057.2,1.58,19.41,-1.59,191000.0,191000.0,27.03171953458997,6337790.522640649,6334,34.0,620.0,1.44,0.8384309828029255,105.23609266278042,37.25321330490246,True
51015,Augusta County,0,967.0734981385931,,77713,30644,79972.0,37781.0,44.9,80.4,4.03,30.45,7.5,69000.0,69000.0,94.55917923604076,6697938.404373396,1439,28.0,76.0,3.6,5.473922045862954,17.327264102787133,17.327264102787133,True
51017,Bath County,0,529.2016737567911,,4123,1781,61709.0,36110.0,52.3,7.8,-6.15,33.75,10.23,3300.0,,,128854.03108273596,127,3.0,7.0,7.28,14.236919947894393,48.877935249065224,48.877935249065224,False
51019,Bedford County,0,760.1041665571989,,80254,32698,77644.0,42095.0,47.1,105.6,3.01,26.17,3.97,33000.0,,,2559906.672080334,1818,25.0,110.0,3.12,17.46592373136834,78.91222075722267,78.91222075722267,False
51021,Bland County,0,357.64510319695296,,6211,2345,61375.0,29128.0,47.1,17.4,-3.66,21.51,0.14,32000.0,32000.0,41.51106877636404,1383571.3641579696,70,4.0,4.0,6.44,0.3703571516702312,147.45529291932246,125.44916839237258,True
51023,Botetourt County,0,541.2762199198402,,33875,13105,80467.0,41322.0,48.1,62.6,1.97,17.62,-3.06,42000.0,42000.0,50.83370752184173,3371641.5722887334,776,17.0,42.0,5.02,5.085371707527043,73.36696595286129,73.36696595286129,True
51025,Brunswick County,0,566.2400148276138,,15868,6390,52978.0,29171.0,44.4,28.0,-4.78,26.36,4.13,26000.0,26000.0,36.73276908214467,1688310.9666500615,254,11.0,10.0,6.93,5.913521226369059,124.42493700398208,69.35693470119168,True
51027,Buchanan County,0,502.85439064468943,,19857,7351,42216.0,26203.0,47.3,39.5,-10.3,37.04,12.93,9200.0,,,604800.3707519841,343,8.0,16.0,4.03,36.453622135444874,125.02660963628405,125.02660963628405,False
51029,Buckingham County,0,579.6225218212476,,16914,6062,59199.0,28353.0,43.7,29.2,-0.53,27.97,5.46,9400.0,,,464219.69768473064,257,12.0,6.0,7.09,30.07350184260089,58.23448160633133,58.23448160633133,False
51031,Campbell County,0,503.20732392509797,,55398,22080,62608.0,33847.0,43.2,110.1,0.41,24.57,2.66,49000.0,,,3711212.2260707063,1216,28.0,77.0,5.05,39.1780092886079,79.90724777310032,79.60509606108509,False
51033,Caroline County,0,527.3626977472132,,31541,11680,86267.0,38847.0,39.4,59.8,4.5,33.3,9.86,104000.0,104000.0,28.290258955501045,4130303.1926348717,424,26.0,34.0,8.24,8.266341776638694,88.94605432709196,27.57647503343668,True
51035,Carroll County,0,474.7444191319032,,29158,12493,52575.0,29946.0,49.0,61.4,-1.95,20.77,-0.47,46000.0,46000.0,56.63578009104679,3257439.968193628,431,22.0,31.0,7.55,0.9999249146540794,149.8799301586317,91.87091476873829,True
51036,Charles City County,0,182.90105198148777,,6686,2947,70339.0,41266.0,52.6,36.6,-4.42,18.83,-2.07,4900.0,,,198089.54046331203,153,5.0,3.0,7.48,9.755176291668784,123.06435469786472,10.30813142101685,False
51037,Charlotte County,0,475.29566297518664,,11475,4621,48892.0,28682.0,45.2,24.1,-5.13,24.69,2.75,6200.0,,,530540.9070333014,220,9.0,13.0,7.84,36.20288773258469,93.8606605570616,74.65309610732356,False
51041,Chesterfield County,0,423.5056395134193,,371610,136996,98910.0,46772.0,38.9,877.5,9.48,23.31,1.62,131000.0,131000.0,47.46083340802697,19129342.018275194,8257,90.0,600.0,2.42,9.053435969326712,99.54616451965417,33.35424647360796,True
51043,Clarke County,0,175.9582328510682,,15060,5651,114185.0,54763.0,48.3,85.6,4.84,46.51,20.74,29000.0,,,1482221.2155189037,377,7.0,23.0,4.65,9.04932969923821,72.53763819940964,56.12667412984704,False
51045,Craig County,0,328.09820037735966,,4881,1752,67778.0,34122.0,46.1,14.9,-4.54,22.16,0.67,4200.0,,,89306.1882478338,64,,5.0,,14.300272899432299,92.64656528985127,92.64656528985127,False
51047,Culpeper County,0,379.18171712093107,,53563,18584,96098.0,40304.0,39.3,141.3,6.17,31.43,8.31,35000.0,,,2425133.252534016,1126,20.0,85.0,3.73,26.14462363453757,53.48589898723396,27.429391826883666,False
51049,Cumberland County,0,297.47407369373934,,9745,4175,57057.0,36142.0,45.2,32.8,-0.42,23.44,1.73,8500.0,,,241411.34668558178,145,7.0,12.0,7.18,26.699615002912807,69.07725950230046,68.48900535697143,False
51051,Dickenson County,0,330.440254372045,,13920,5717,43831.0,26070.0,45.9,42.1,-6.95,49.97,23.59,7000.0,,,256311.4794119142,184,9.0,10.0,6.47,35.29765718892224,105.96823490416229,105.96823490416229,False
51053,Dinwiddie County,0,503.8856509772527,,28083,10427,83898.0,37955.0,43.4,55.7,-0.79,50.14,23.73,62000.0,62000.0,53.220817819600896,2802010.0591575187,396,12.0,18.0,4.27,2.0720847862353695,113.23289895997421,45.42332642524563,True
51057,Essex County,0,257.35403198956345,,10604,4396,56481.0,32839.0,47.1,41.2,-3.91,7.21,-11.64,21000.0,,,693840.886339304,309,8.0,25.0,7.54,27.744439467566927,111.30036568370541,30.819142601706712,False
51059,Fairfax County,0,391.0204471435265,,1144474,412663,150113.0,69971.0,38.9,2926.9,0.08,23.92,2.13,254000.0,254000.0,173.8593095457276,54857688.2609875,31931,189.0,2458.0,1.65,2.56980997149505,95.33554600895249,30.589137669139628,True
51061,Fauquier County,0,647.9937217867282,,73935,26266,129495.0,55864.0,40.8,114.1,6.97,32.86,9.49,56000.0,56000.0,43.22522532735703,6436351.338813543,2015,30.0,119.0,4.06,7.501334836295759,66.11496131554205,29.221606735773626,True
51063,Floyd County,0,380.92284017165235,,15560,6649,61401.0,36681.0,48.0,40.8,-0.68,23.47,1.75,9100.0,,,359254.93640904024,339,5.0,20.0,3.21,12.985582132847648,126.05415993959727,83.81469090905881,False
51065,Fluvanna County,0,287.11730530049755,,27764,10251,91959.0,42987.0,43.3,96.7,5.64,22.72,1.14,10000.0,,,445421.9467478974,420,7.0,20.0,2.52,9.862796606899,50.07305441568293,50.07305441568293,True
51067,Franklin County,0,690.6100293904265,,54958,22484,68348.0,38202.0,48.5,79.6,-2.27,29.84,7.0,27000.0,,,2150313.1419016616,1238,28.0,76.0,5.09,17.166144058004196,107.73094122418347,71.46224648022745,False
51069,Frederick County,0,413.1346482749632,,93355,34338,95603.0,45248.0,40.6,226.0,9.63,30.52,7.56,72000.0,72000.0,45.61339308199685,5934993.9097636435,1695,30.0,117.0,3.21,6.246328965012425,68.76483501174012,68.76483501174012,True
51071,Giles County,0,357.2245120769966,,16610,6769,64819.0,33792.0,45.8,46.5,-1.21,23.52,1.79,14000.0,,,953522.462462648,299,17.0,23.0,10.23,16.030945795529224,121.02010322534552,115.97944213014117,False
51073,Gloucester County,0,217.8097697625399,,39228,15111,83689.0,40924.0,44.6,180.1,5.56,25.47,3.4,32000.0,,,1750405.3559744556,868,19.0,67.0,4.84,10.641448749760201,145.51719418256715,25.67346210758199,False
51075,Goochland County,0,282.028868427986,,25613,10013,118695.0,68258.0,49.4,90.8,13.93,32.26,9.0,81000.0,81000.0,58.07872202181597,3983879.2001844104,756,13.0,34.0,5.08,3.8815971508132923,70.36652838803471,52.63036935188091,True
51077,Grayson County,0,441.7853280614327,,15323,6202,42864.0,27087.0,48.5,34.7,-3.09,26.19,3.99,8600.0,,,448867.9632019742,173,8.0,10.0,5.22,17.791965067743302,141.43761540865907,114.55313003189059,False
51079,Greene County,0,155.9470174353819,,20850,7912,85268.0,41541.0,40.8,133.7,7.42,31.22,8.14,29000.0,,,754820.2389858654,384,9.0,27.0,4.32,19.188339577038455,25.30742196053764,25.30742196053764,False
51081,Greensville County,0,295.22705102333606,,11304,3092,56759.0,23125.0,39.9,38.3,-3.04,27.45,5.03,43000.0,43000.0,35.04245373818872,1877110.2094357244,100,9.0,3.0,7.96,0.14753611872245398,138.08606362348462,64.57749730935883,True
51083,Halifax County,0,817.7310616013764,,33811,13673,49244.0,27115.0,46.7,41.3,-2.78,16.45,-4.04,18000.0,,,1522300.6927852037,656,15.0,47.0,4.44,38.051675960972034,109.6363510433746,52.725604757141,False
51085,Hanover County,0,467.57312134645105,,111652,42012,109504.0,51509.0,42.3,238.8,6.9,23.52,1.79,131000.0,131000.0,51.60862226710931,8542622.791041277,3413,48.0,216.0,4.3,1.6505414500475242,88.4438670715693,32.487150563799425,True
51087,Henrico County,0,233.6985867172484,,334434,135599,86397.0,50277.0,39.4,1431.0,2.7,25.99,3.83,160000.0,160000.0,146.80371368440163,18876111.70035641,9754,93.0,709.0,2.78,0.7794666376986279,100.42030798672724,22.509901783601475,True
51089,Henry County,0,382.35103128389653,,50365,20503,48445.0,28644.0,47.9,131.7,-2.37,32.06,8.83,20000.0,,,2376894.2370133325,803,34.0,63.0,6.75,29.7704975114362,126.69326810376491,52.99676729830938,False
51091,Highland County,0,415.16287264365286,,2265,1003,62946.0,35262.0,57.1,5.5,2.3,36.4,12.41,1400.0,,,67078.92723103098,79,,3.0,,32.09206077977567,34.91829078612564,34.91829078612564,False
51093,Isle of Wight County,0,315.68541327934116,,39444,15426,96118.0,47674.0,44.2,124.9,8.45,34.66,10.98,30000.0,,,1631635.3043180762,766,18.0,62.0,4.56,16.236998948926747,157.4021770028039,44.439914706606665,False
51095,James City County,0,142.298215010797,,80046,31351,107046.0,53887.0,47.2,562.5,7.95,28.9,6.22,76000.0,76000.0,14.37322662397196,2884603.5313877184,1841,15.0,134.0,1.87,3.0288170839480832,137.17906594138748,16.79209523719586,True
51097,King and Queen County,0,315.1308864094036,,6676,2814,72851.0,39622.0,49.0,21.2,-5.33,33.63,10.13,17000.0,,,497465.71149165113,117,5.0,,7.49,16.34510792154858,119.24713667243275,16.281500450736104,False
51099,King George County,0,179.6278659131161,,27468,9877,110517.0,47046.0,38.3,152.9,6.1,26.56,4.3,22000.0,,,1341765.6260775886,496,13.0,34.0,4.73,17.361872771510154,96.36072149784998,19.100329071333025,False
51101,King William County,0,273.9104655225487,,18232,7115,85212.0,38965.0,40.5,66.6,10.52,24.0,2.19,22000.0,,,620296.501856074,359,11.0,27.0,6.03,13.7182723324794,109.84638158701377,15.230293878417877,False
51103,Lancaster County,0,133.306201531253,,10876,5468,67169.0,49384.0,59.1,81.6,0.67,32.38,9.1,16000.0,,,399690.8398196979,458,8.0,39.0,7.36,28.76215529578281,141.04736842425396,33.63424227475978,False
51105,Lee County,0,435.37761602068247,,22042,8446,42269.0,25439.0,45.4,50.6,-8.67,29.19,6.47,14000.0,,,827492.9284593152,242,17.0,19.0,7.71,31.20565533474477,56.91906566253336,56.91906566253336,False
51107,Loudoun County,0,515.737212332883,,427082,140823,178707.0,70133.0,37.8,828.1,10.89,31.14,8.08,156000.0,,,13595480.97442007,12561,70.0,844.0,1.64,18.02155880283585,86.3174636819825,47.470871586553,False
51109,Louisa County,0,495.0778564901033,,39012,15211,80343.0,42793.0,44.8,78.8,10.27,35.39,11.57,41000.0,41000.0,24.01280175271188,1985841.3418770053,683,20.0,46.0,5.13,7.144476223232433,58.58096224910609,40.8585755635101,True
51111,Lunenburg County,0,431.6999385201613,,11990,4669,54460.0,26539.0,44.8,27.8,-2.35,30.08,7.2,5800.0,,,248154.14727660632,170,7.0,7.0,5.84,15.46279108092787,104.25531094586562,78.3309413011235,False
51113,Madison County,0,320.6387302265513,,13931,5392,82972.0,40022.0,46.2,43.4,6.03,53.09,26.17,20000.0,,,822322.2036503255,283,6.0,13.0,4.31,26.821727376060082,35.40912711760141,35.40912711760141,False
51115,Mathews County,0,85.91084148688773,,8517,3767,75487.0,45767.0,53.8,99.1,-3.17,12.65,-7.16,14000.0,,,190685.0937703184,191,6.0,12.0,7.04,20.322767959256968,154.79032894329916,36.27204712163747,False
51117,Mecklenburg County,0,625.3095771122655,,30431,13395,51691.0,33014.0,48.8,48.7,-1.35,23.0,1.37,28000.0,28000.0,48.96961799831428,2652074.056926883,793,33.0,57.0,10.84,12.709787716549863,119.65369715536437,67.82908323860201,True
51119,Middlesex County,0,130.33038516775622,,10774,4733,74154.0,40661.0,55.5,82.7,0.69,42.83,17.71,12000.0,,,540758.2234663952,306,8.0,24.0,7.43,19.504463505900762,138.04749530359493,25.285929922329775,False
51121,Montgomery County,0,386.84698165275336,,99159,36731,70769.0,36009.0,30.2,256.3,1.19,29.52,6.74,53000.0,53000.0,58.32803215696016,5384135.696041563,2016,32.0,190.0,3.23,2.9381433251107594,114.3166908568718,97.2817220332677,True
51125,Nelson County,0,470.7452274141249,,14777,6470,68525.0,45251.0,51.3,31.4,-0.24,9.73,-9.57,18000.0,,,1239713.9165178512,372,13.0,13.0,8.8,16.97993568267991,39.23949407794039,39.23949407794039,True
51127,New Kent County,0,210.03428426141633,,24139,9034,120125.0,51609.0,43.4,114.9,14.39,50.73,24.21,72000.0,72000.0,42.85443838641751,3813976.569324183,458,11.0,32.0,4.56,0.8850280617424316,120.63234285471832,0.544956441795801,True
51131,Northampton County,0,211.7117981398242,,12115,5338,55933.0,38934.0,51.6,57.2,1.32,28.43,5.84,17000.0,,,1425199.829456823,327,12.0,42.0,9.91,33.229607661596226,180.77328666755201,62.59250168082665,False
51133,Northumberland County,0,191.43155291770006,,12085,5436,69500.0,47191.0,59.5,63.1,-1.13,18.45,-2.39,8300.0,,,370642.2070058922,306,9.0,13.0,7.45,38.7441310000063,140.39713111839671,41.61087211392666,False
51135,Nottoway County,0,314.3896992231231,,15597,5492,62161.0,25832.0,41.2,49.6,0.63,45.0,19.5,14000.0,,,706307.1183125385,299,11.0,26.0,7.05,21.775680256035926,96.41165485321646,62.907397834424,False
51137,Orange County,0,340.5149886520471,,37208,14667,94175.0,45021.0,42.0,109.3,4.48,37.52,13.33,28000.0,,,1103270.1686913925,724,18.0,70.0,4.84,21.362773118328153,50.187129544148995,32.440231316891364,False
51139,Page County,0,310.01727220123576,,23750,9509,59396.0,31006.0,45.4,76.6,0.0,23.87,2.08,14000.0,,,596905.870038652,441,8.0,41.0,3.37,10.293508973841213,30.148172848648777,30.148172848648777,False
51141,Patrick County,0,482.9544004500188,,17606,7797,50938.0,32864.0,51.0,36.5,-1.42,25.82,3.69,9000.0,,,514252.5037646811,266,14.0,16.0,7.95,21.64685111183777,137.8179017766473,68.94375735834423,False
51143,Pittsylvania County,0,969.002778423726,,60148,24633,54115.0,30209.0,48.3,62.1,-2.48,19.24,-1.73,22000.0,,,3192884.410956274,879,17.0,47.0,2.83,42.51260963114529,109.01946005170782,52.405018000147955,False
51145,Powhatan County,0,260.20246166789235,,31074,11151,110667.0,48796.0,45.3,119.4,8.75,31.88,8.68,63000.0,,,1637895.1703076498,740,13.0,34.0,4.18,12.963280811940582,78.34412414713664,50.4647061784187,False
51147,Prince Edward County,0,349.946317275726,,21932,7560,55082.0,25782.0,32.4,62.7,-4.46,19.25,-1.72,20000.0,,,1082767.6816342608,496,12.0,38.0,5.47,37.59758576251974,82.44026649715944,81.60925629605191,False
51149,Prince George County,0,265.34185167006234,,42873,12718,88225.0,33937.0,33.4,161.6,13.14,31.68,8.52,112000.0,112000.0,62.81351640386179,3386591.9453721344,466,14.0,36.0,3.27,4.370617944172132,123.25070100909697,24.778250319337825,True
51153,Prince William County,0,335.25464288226186,,484625,154609,128873.0,50883.0,36.0,1445.5,6.1,24.58,2.67,206000.0,206000.0,87.81618512700558,20937107.786111936,9286,101.0,766.0,2.08,7.038686717529321,81.9826577914098,19.77779044782693,True
