geoid,county_name,corridor,attractiveness_rank,weighted_score,recommendation_status,reason,store_status,overlap_flag,dist_any_bucees_mi,dist_open_bucees_mi,interstate_max_aadt,pop_density_sqmi,total_population,pop_growth_pct,scenarios_in_top25
51059,Fairfax County,I-95 / I-66 Northern Virginia,1,83.68914009912302,Feasibility constrained,"Population density 2,927 people per sq mi. Assembling an interchange-scale site of roughly 30 acres is a severe constraint.",,,30.589137669139628,95.33554600895249,254000.0,2926.9,1144474,0.08,5
51153,Prince William County,I-95 / I-66 Northern Virginia,2,73.47740109698547,Overlap constrained,"Centroid 19.8 mi from an existing or planned store, inside the 30 mi screen",,,19.77779044782693,81.9826577914098,206000.0,1445.5,484625,6.1,5
51013,Arlington County,I-95 / I-66 Northern Virginia,3,72.71218050351989,Feasibility constrained,"Population density 9,057 people per sq mi. Assembling an interchange-scale site of roughly 30 acres is a severe constraint.",,,37.25321330490246,105.23609266278042,191000.0,9057.2,235463,1.58,5
51810,Virginia Beach city,I-64 / I-264 Hampton Roads,4,72.70482298362288,Priority candidate,"Eligible, balanced rank within top 25, and top 25 in at least 4 of 5 scenarios",,,74.56331335611061,193.85711948514282,195000.0,1867.7,457066,1.54,5
51179,Stafford County,I-95 Fredericksburg / Stafford,5,72.11466843433239,Reference case,Existing or planned store in county (locally approved),locally approved,,0.27121202383091797,79.89962182802982,260000.0,596.3,160520,11.46,5
51041,Chesterfield County,I-95 Richmond South,6,67.91764612445503,Priority candidate,"Eligible, balanced rank within top 25, and top 25 in at least 4 of 5 scenarios. Nearest existing or planned store is only 33.4 mi away, so trade-area overlap needs review before siting",,Further overlap review required,33.35424647360796,99.54616451965417,131000.0,877.5,371610,9.48,5
51087,Henrico County,I-95 Richmond North,7,67.45058781183414,Overlap constrained,"Centroid 22.5 mi from an existing or planned store, inside the 30 mi screen",,,22.509901783601475,100.42030798672724,160000.0,1431.0,334434,2.7,5
51107,Loudoun County,Not in a screened corridor,8,67.00396385341745,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,47.470871586553,86.3174636819825,,828.1,427082,10.89,5
51177,Spotsylvania County,I-95 Fredericksburg / Stafford,9,65.60082707979072,Overlap constrained,"Centroid 19.3 mi from an existing or planned store, inside the 30 mi screen",,,19.274232854847636,70.10412063262058,190000.0,357.9,143876,9.48,5
51550,Chesapeake city,I-64 / I-264 Hampton Roads,10,65.57989457884374,Priority candidate,"Eligible, balanced rank within top 25, and top 25 in at least 4 of 5 scenarios",,,68.38007061714114,184.85839632796865,116000.0,742.1,251153,5.61,5
51710,Norfolk city,I-64 / I-264 Hampton Roads,11,64.22931951502316,Feasibility constrained,"Population density 4,412 people per sq mi. Assembling an interchange-scale site of roughly 30 acres is a severe constraint.",,,58.33350092734191,177.75270479037678,177000.0,4411.8,235037,-4.3,4
51085,Hanover County,I-95 Richmond North,12,62.6624166679028,Priority candidate,"Eligible, balanced rank within top 25, and top 25 in at least 4 of 5 scenarios. Nearest existing or planned store is only 32.5 mi away, so trade-area overlap needs review before siting",,Further overlap review required,32.487150563799425,88.4438670715693,131000.0,238.8,111652,6.9,5
51199,York County,I-64 / I-264 Hampton Roads,13,62.562284327970296,Overlap constrained,"Centroid 29.7 mi from an existing or planned store, inside the 30 mi screen",,,29.708312117515955,150.3878895341165,170000.0,674.2,70590,4.44,5
51069,Frederick County,I-81 Winchester / Frederick,14,58.831178645788114,Priority candidate,"Eligible, balanced rank within top 25, and top 25 in at least 4 of 5 scenarios",,,68.76483501174012,68.76483501174012,72000.0,226.0,93355,9.63,5
51161,Roanoke County,I-81 Roanoke / Salem,15,58.69281351016827,Priority candidate,"Eligible, balanced rank within top 25, and top 25 in at least 4 of 5 scenarios",,,93.22995593499758,97.64344967406596,78000.0,386.3,96793,3.43,5
51003,Albemarle County,I-64 Charlottesville,16,58.34989126479934,Priority candidate,"Eligible, balanced rank within top 25, and top 25 in at least 4 of 5 scenarios. Nearest existing or planned store is only 30.5 mi away, so trade-area overlap needs review before siting",,Further overlap review required,30.514987039900056,30.514987039900056,55000.0,157.8,113683,6.89,5
51800,Suffolk city,I-64 / I-264 Hampton Roads,17,57.38374276149298,Priority candidate,"Eligible, balanced rank within top 25, and top 25 in at least 4 of 5 scenarios",,,58.76591602840159,169.97081381092553,87000.0,242.1,96638,8.39,5
51075,Goochland County,I-64 Richmond West,18,56.897858743650936,Priority candidate,"Eligible, balanced rank within top 25, and top 25 in at least 4 of 5 scenarios",,,52.63036935188091,70.36652838803471,81000.0,90.8,25613,13.93,5
51061,Fauquier County,I-66 Piedmont,19,56.31099422149749,Overlap constrained,"Centroid 29.2 mi from an existing or planned store, inside the 30 mi screen",,,29.221606735773626,66.11496131554205,56000.0,114.1,73935,6.97,4
51095,James City County,I-64 / I-264 Hampton Roads,20,55.99673477896212,Overlap constrained,"Centroid 16.8 mi from an existing or planned store, inside the 30 mi screen",,,16.79209523719586,137.17906594138748,76000.0,562.5,80046,7.95,4
51121,Montgomery County,I-81 New River Valley,21,55.55622857537241,Secondary candidate,"Eligible, balanced rank within top 45",,,97.2817220332677,114.3166908568718,53000.0,256.3,99159,1.19,3
51510,Alexandria city,I-95 / I-66 Northern Virginia,22,54.75431910283182,Traffic data unavailable,"An interstate crosses this jurisdiction but the VDOT extract holds no mainline traffic record for it, so highway exposure could not be measured",,,34.25052223289059,104.69345160817919,,10497.8,156788,0.18,2
51149,Prince George County,I-95 Richmond South,23,53.89712364454848,Overlap constrained,"Centroid 24.8 mi from an existing or planned store, inside the 30 mi screen",,,24.778250319337825,123.25070100909697,112000.0,161.6,42873,13.14,3
51760,Richmond city,I-95 Richmond North,24,53.49416346582608,Overlap constrained,"Centroid 26.3 mi from an existing or planned store, inside the 30 mi screen",,,26.271937960447495,97.62937077127182,,3798.0,227595,1.7,1
51127,New Kent County,I-64 Richmond East / New Kent,25,52.72300918017544,Reference case,Existing or planned store in county (announced),announced,,0.544956441795801,120.63234285471832,72000.0,114.9,24139,14.39,3
51740,Portsmouth city,I-64 / I-264 Hampton Roads,26,52.34080205060843,Feasibility constrained,"Population density 2,922 people per sq mi. Assembling an interchange-scale site of roughly 30 acres is a severe constraint.",,,57.30424314068704,175.3755381784377,77000.0,2921.8,97299,2.09,2
51700,Newport News city,I-64 / I-264 Hampton Roads,27,51.82824371179241,Traffic data unavailable,"An interstate crosses this jurisdiction but the VDOT extract holds no mainline traffic record for it, so highway exposure could not be measured",,,37.875603220389564,157.63373660564247,,2678.0,184774,2.57,0
51165,Rockingham County,I-81 Harrisonburg / Rockingham,28,51.80629790224492,Reference case,Existing or planned store in county (open),open,,11.199758484542118,11.199758484542118,59000.0,99.7,84739,6.67,1
51600,Fairfax city,I-95 / I-66 Northern Virginia,29,51.78071701229282,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,31.295558077771474,94.56944323242524,,3922.2,24478,2.57,1
51191,Washington County,I-81 Bristol / Southwest,30,51.734302663467545,Secondary candidate,"Eligible, balanced rank within top 45",,,105.67423846550595,105.67423846550595,63000.0,96.1,53913,-0.91,2
51015,Augusta County,I-81 Harrisonburg / Rockingham,31,51.17505408926949,Overlap constrained,"Centroid 17.3 mi from an existing or planned store, inside the 30 mi screen",,,17.327264102787133,17.327264102787133,69000.0,80.4,77713,4.03,1
51770,Roanoke city,I-81 Roanoke / Salem,32,50.246997910339836,Traffic data unavailable,"An interstate crosses this jurisdiction but the VDOT extract holds no mainline traffic record for it, so highway exposure could not be measured",,,91.2076906120219,93.38290136765329,,2320.7,98677,-0.95,1
51610,Falls Church city,I-95 / I-66 Northern Virginia,33,49.99795969604867,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,35.72489992325019,101.62973475966028,,7130.9,14593,3.74,1
51187,Warren County,I-81 Winchester / Frederick,34,49.74752885903569,Secondary candidate,"Eligible, balanced rank within top 45",,,52.92543726038261,54.53143611405752,56000.0,191.6,41104,4.2,0
51650,Hampton city,I-64 / I-264 Hampton Roads,35,49.46233711501607,Traffic data unavailable,"An interstate crosses this jurisdiction but the VDOT extract holds no mainline traffic record for it, so highway exposure could not be measured",,,46.438449563535116,166.6477235801398,,2668.7,137334,1.29,0
51109,Louisa County,I-64 Richmond West,36,48.52705675333078,Secondary candidate,"Eligible, balanced rank within top 45",,,40.8585755635101,58.58096224910609,41000.0,78.8,39012,10.27,1
51171,Shenandoah County,I-81 Winchester / Frederick,37,48.483348685580225,Secondary candidate,"Eligible, balanced rank within top 45. Nearest existing or planned store is only 39.7 mi away, so trade-area overlap needs review before siting",,Further overlap review required,39.73760518411464,39.73760518411464,62000.0,87.8,44630,3.68,0
51019,Bedford County,I-81 Roanoke / Salem,38,48.12433596303024,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,78.91222075722267,78.91222075722267,,105.6,80254,3.01,0
51033,Caroline County,I-95 Fredericksburg / Stafford,39,47.68209783121248,Overlap constrained,"Centroid 27.6 mi from an existing or planned store, inside the 30 mi screen",,,27.57647503343668,88.94605432709196,104000.0,59.8,31541,4.5,0
