rank,county_name,weighted_score
1,Fairfax County,85.36611492761088
2,Arlington County,79.90383802256798
3,Loudoun County,77.2040680869639
4,Prince William County,70.55149246998282
5,Stafford County,69.50608018094755
6,Falls Church city,67.21450658993626
7,Virginia Beach city,64.78363474874506
8,Alexandria city,62.88458372857088
9,Chesterfield County,61.69792550449771
10,Henrico County,61.26806626881951
11,Fairfax city,61.1831949049911
12,Spotsylvania County,60.86138594974765
13,Hanover County,60.721772630748276
14,Goochland County,60.06326104991142
15,York County,60.00876755977916
