rank,county_name,weighted_score
1,Fairfax County,83.68914009912302
2,Prince William County,73.47740109698547
3,Arlington County,72.71218050351989
4,Virginia Beach city,72.70482298362288
5,Stafford County,72.11466843433239
6,Chesterfield County,67.91764612445503
7,Henrico County,67.45058781183414
8,Loudoun County,67.00396385341745
9,Spotsylvania County,65.60082707979072
10,Chesapeake city,65.57989457884374
11,Norfolk city,64.22931951502316
12,Hanover County,62.6624166679028
13,York County,62.562284327970296
14,Frederick County,58.831178645788114
15,Roanoke County,58.69281351016827
