rank,county_name,weighted_score
1,Stafford County,75.36683202191305
2,Loudoun County,72.94026085124229
3,Fairfax County,70.8313941363592
4,Prince William County,70.04134853337818
5,Chesterfield County,69.49846818892357
6,Goochland County,69.02237767227359
7,Spotsylvania County,68.42680812170425
8,New Kent County,68.2133344350605
9,Arlington County,65.41382744427183
10,Prince George County,64.96811226462792
11,Frederick County,64.59626058586086
12,Chesapeake city,63.82416676029568
13,Hanover County,63.729552150659565
14,Virginia Beach city,63.46708021443024
15,Albemarle County,62.40387586332201
