rank,county_name,weighted_score
1,Fairfax County,88.35009411084404
2,Stafford County,78.49747486981265
3,Prince William County,76.69011521193012
4,Virginia Beach city,76.21850782689454
5,Arlington County,74.58509066126351
6,Henrico County,70.93283772470838
7,Norfolk city,70.74991351001249
8,Spotsylvania County,69.30437457703971
9,York County,68.41617311328122
10,Chesterfield County,68.08787393089261
11,Chesapeake city,66.15165761967869
12,Hanover County,64.771173670744
13,Roanoke County,60.03632422668064
14,Frederick County,58.29795214786769
15,Suffolk city,56.84548494495746
