rank,county_name,weighted_score
1,Fairfax County,78.24804225083231
2,Virginia Beach city,75.62799211800589
3,Arlington County,70.71510235112513
4,Prince William County,69.09049090817084
5,Chesapeake city,68.82758565323817
6,Norfolk city,68.46881476235893
7,Roanoke County,67.49130448051874
8,Stafford County,66.2013662796676
9,Chesterfield County,66.16722231390669
10,Montgomery County,65.57137750234921
11,Henrico County,65.25702046092952
12,Loudoun County,65.1542299408805
13,Frederick County,63.43864989281695
14,York County,63.0303523877554
15,Spotsylvania County,62.8768403268289
