scenario,component,factor,spearman_rho,top10_retained
balanced,market_demand,0.8,0.9991430407769764,10
balanced,market_demand,1.2,0.9992552616276102,10
balanced,growth,0.8,0.9991532426724886,10
balanced,growth,1.2,0.9991736464635128,10
balanced,purchasing_power,0.8,0.9994950061721467,10
balanced,purchasing_power,1.2,0.9993368767917078,10
balanced,highway_opportunity,0.8,0.9990308199263422,10
balanced,highway_opportunity,1.2,0.9989645076055131,10
balanced,accessibility,0.8,0.9988624886503912,10
balanced,accessibility,1.2,0.9988930943369276,10
balanced,commercial_activity,0.8,0.9993521796349761,10
balanced,commercial_activity,1.2,0.9993215739484397,10
balanced,competition,0.8,0.9996531355525856,10
balanced,competition,1.2,0.9995919241795125,10
balanced,overlap_risk,0.8,0.9986431478968792,10
balanced,overlap_risk,1.2,0.9992501606798542,10
highway,market_demand,0.8,0.9995613184929759,10
highway,market_demand,1.2,0.9996378327093173,10
highway,growth,0.8,0.9995001071199028,10
highway,growth,1.2,0.9997398516644391,10
highway,purchasing_power,0.8,0.9995613184929759,10
highway,purchasing_power,1.2,0.9997959620897562,10
highway,highway_opportunity,0.8,0.997648463084441,10
highway,highway_opportunity,1.2,0.9985819365238061,10
highway,accessibility,0.8,0.9982554758674161,10
highway,accessibility,1.2,0.9979647218453189,10
highway,commercial_activity,0.8,0.9996531355525856,10
highway,commercial_activity,1.2,0.9996480346048295,10
highway,competition,0.8,0.9995613184929759,10
highway,competition,1.2,0.9997092459779026,10
highway,overlap_risk,0.8,0.9990002142398057,10
highway,overlap_risk,1.2,0.9988879933891717,10
growth,market_demand,0.8,0.9990563246651226,10
growth,market_demand,1.2,0.9994797033288786,10
growth,growth,0.8,0.9968731190255149,9
growth,growth,1.2,0.9972046806296609,9
growth,purchasing_power,0.8,0.9993674824782445,9
growth,purchasing_power,1.2,0.9995970251272686,10
growth,highway_opportunity,0.8,0.9994337947990736,9
growth,highway_opportunity,1.2,0.9992603625753664,10
growth,accessibility,0.8,0.9990359208740983,10
growth,accessibility,1.2,0.9993266748961956,10
growth,commercial_activity,0.8,0.9997041450301465,10
growth,commercial_activity,1.2,0.999734750716683,10
growth,competition,0.8,0.999836769671805,10
growth,competition,1.2,0.999836769671805,10
growth,overlap_risk,0.8,0.9995970251272686,10
growth,overlap_risk,1.2,0.9994644004856102,10
affluent,market_demand,0.8,0.9991430407769764,9
affluent,market_demand,1.2,0.9993011701574153,10
affluent,growth,0.8,0.9997398516644391,10
affluent,growth,1.2,0.9997143469256586,10
affluent,purchasing_power,0.8,0.9972811948460024,10
affluent,purchasing_power,1.2,0.9979188133155138,8
affluent,highway_opportunity,0.8,0.9992909682619031,9
affluent,highway_opportunity,1.2,0.9993470786872201,10
affluent,accessibility,0.8,0.9986890564266842,10
affluent,accessibility,1.2,0.9988828924414156,10
affluent,commercial_activity,0.8,0.9989288009712203,10
affluent,commercial_activity,1.2,0.9994082900602931,9
affluent,competition,0.8,0.9997959620897562,10
affluent,competition,1.2,0.9998265677762928,10
affluent,overlap_risk,0.8,0.9994950061721467,10
affluent,overlap_risk,1.2,0.9995256118586832,10
underserved,market_demand,0.8,0.9990257189785862,10
underserved,market_demand,1.2,0.9991073341426837,9
underserved,growth,0.8,0.99955621754522,10
underserved,growth,1.2,0.9992654635231225,10
underserved,purchasing_power,0.8,0.9995970251272686,10
underserved,purchasing_power,1.2,0.999505208067659,9
underserved,highway_opportunity,0.8,0.998959406657757,9
underserved,highway_opportunity,1.2,0.9985819365238061,9
underserved,accessibility,0.8,0.9986176431580988,9
underserved,accessibility,1.2,0.9983370910315137,10
underserved,commercial_activity,0.8,0.9994082900602931,10
underserved,commercial_activity,1.2,0.9995001071199028,10
underserved,competition,0.8,0.9982401730241478,10
underserved,competition,1.2,0.9986227441058548,10
underserved,overlap_risk,0.8,0.9925118086940553,9
underserved,overlap_risk,1.2,0.9935524020362984,9
