county_name,total_population,gas_stations,gas_stations_per_10k
Arlington County,235463,34.0,1.44
Stafford County,160520,25.0,1.56
Alexandria city,156788,25.0,1.59
Loudoun County,427082,70.0,1.64
Fairfax County,1144474,189.0,1.65
James City County,80046,15.0,1.87
York County,70590,14.0,1.98
Prince William County,484625,101.0,2.08
Virginia Beach city,457066,100.0,2.19
Chesterfield County,371610,90.0,2.42
Fluvanna County,27764,7.0,2.52
Manassas city,42674,11.0,2.58
Roanoke city,98677,26.0,2.63
Spotsylvania County,143876,38.0,2.64
Norfolk city,235037,62.0,2.64
