county_name,pop_growth_pct,total_population,mhi_growth_pct
New Kent County,14.39,24139,50.73
Goochland County,13.93,25613,32.26
Prince George County,13.14,42873,31.68
Stafford County,11.46,160520,25.31
Loudoun County,10.89,427082,31.14
King William County,10.52,18232,24.0
Louisa County,10.27,39012,35.39
Frederick County,9.63,93355,30.52
Chesterfield County,9.48,371610,23.31
Spotsylvania County,9.48,143876,28.41
Powhatan County,8.75,31074,31.88
Isle of Wight County,8.45,39444,34.66
Suffolk city,8.39,96638,27.49
James City County,7.95,80046,28.9
Greene County,7.42,20850,31.22
