county_name,median_hh_income,per_capita_income
Loudoun County,178707.0,70133.0
Falls Church city,154734.0,85077.0
Fairfax County,150113.0,69971.0
Arlington County,140160.0,88024.0
Stafford County,133792.0,51999.0
Fairfax city,132774.0,62800.0
Fauquier County,129495.0,55864.0
Prince William County,128873.0,50883.0
Poquoson city,120919.0,49935.0
New Kent County,120125.0,51609.0
Goochland County,118695.0,68258.0
Manassas city,117919.0,44939.0
Clarke County,114185.0,54763.0
Alexandria city,113638.0,77935.0
Powhatan County,110667.0,48796.0
