county_name,interstate_max_aadt,interstate_miles,vmt_proxy
Stafford County,260000.0,33.64963925150489,7340218.503641502
Fairfax County,254000.0,173.8593095457276,54857688.2609875
Prince William County,206000.0,87.81618512700558,20937107.786111936
Virginia Beach city,195000.0,30.824512518392588,12695367.666417398
Arlington County,191000.0,27.03171953458997,6337790.522640649
Spotsylvania County,190000.0,26.558525898229135,7411247.784007469
Norfolk city,177000.0,60.14723938992608,10840694.003863683
York County,170000.0,102.1871812428613,11401527.929326035
Henrico County,160000.0,146.80371368440163,18876111.70035641
Chesterfield County,131000.0,47.46083340802697,19129342.018275194
Hanover County,131000.0,51.60862226710931,8542622.791041277
Chesapeake city,116000.0,52.440835575709485,10063886.971786637
Prince George County,112000.0,62.81351640386179,3386591.9453721344
Caroline County,104000.0,28.290258955501045,4130303.1926348717
Suffolk city,87000.0,4.538342117802246,4754421.195409245
