county_name,total_population,pop_density_sqmi
Fairfax County,1144474,2926.9
Prince William County,484625,1445.5
Virginia Beach city,457066,1867.7
Loudoun County,427082,828.1
Chesterfield County,371610,877.5
Henrico County,334434,1431.0
Chesapeake city,251153,742.1
Arlington County,235463,9057.2
Norfolk city,235037,4411.8
Richmond city,227595,3798.0
Newport News city,184774,2678.0
Stafford County,160520,596.3
Alexandria city,156788,10497.8
Spotsylvania County,143876,357.9
Hampton city,137334,2668.7
