geoid,county_name,component,component_score,recommendation_status,corridor
51001,Accomack County,market_demand,44.550431754433404,Ineligible: no interstate access,Not in a screened corridor
51001,Accomack County,growth,45.759526991698536,Ineligible: no interstate access,Not in a screened corridor
51001,Accomack County,purchasing_power,13.81342215167833,Ineligible: no interstate access,Not in a screened corridor
51001,Accomack County,highway_opportunity,20.955422753201436,Ineligible: no interstate access,Not in a screened corridor
51001,Accomack County,accessibility,0.0,Ineligible: no interstate access,Not in a screened corridor
51001,Accomack County,commercial_activity,39.247931505197094,Ineligible: no interstate access,Not in a screened corridor
51001,Accomack County,competition,59.151763387945344,Ineligible: no interstate access,Not in a screened corridor
51001,Accomack County,overlap_risk,64.15789606646092,Ineligible: no interstate access,Not in a screened corridor
51003,Albemarle County,market_demand,63.58105998402557,Priority candidate,I-64 Charlottesville
51003,Albemarle County,growth,66.51751024930815,Priority candidate,I-64 Charlottesville
51003,Albemarle County,purchasing_power,53.39349536730377,Priority candidate,I-64 Charlottesville
51003,Albemarle County,highway_opportunity,40.895289990571634,Priority candidate,I-64 Charlottesville
51003,Albemarle County,accessibility,99.93639199011515,Priority candidate,I-64 Charlottesville
51003,Albemarle County,commercial_activity,49.906317739183564,Priority candidate,I-64 Charlottesville
51003,Albemarle County,competition,87.19956663118789,Priority candidate,I-64 Charlottesville
51003,Albemarle County,overlap_risk,25.26023651228214,Priority candidate,I-64 Charlottesville
51005,Alleghany County,market_demand,31.77909942307814,Watchlist,Not in a screened corridor
51005,Alleghany County,growth,25.362704562803398,Watchlist,Not in a screened corridor
51005,Alleghany County,purchasing_power,11.02819810324742,Watchlist,Not in a screened corridor
51005,Alleghany County,highway_opportunity,22.903998803901096,Watchlist,Not in a screened corridor
51005,Alleghany County,accessibility,99.40499313299628,Watchlist,Not in a screened corridor
51005,Alleghany County,commercial_activity,21.38692903374509,Watchlist,Not in a screened corridor
51005,Alleghany County,competition,71.76346745087555,Watchlist,Not in a screened corridor
51005,Alleghany County,overlap_risk,58.89627329021238,Watchlist,Not in a screened corridor
51007,Amelia County,market_demand,30.082026222462044,Ineligible: no interstate access,Not in a screened corridor
51007,Amelia County,growth,47.75392882630316,Ineligible: no interstate access,Not in a screened corridor
51007,Amelia County,purchasing_power,18.475991123452253,Ineligible: no interstate access,Not in a screened corridor
51007,Amelia County,highway_opportunity,16.406230990875663,Ineligible: no interstate access,Not in a screened corridor
51007,Amelia County,accessibility,56.21151543300013,Ineligible: no interstate access,Not in a screened corridor
51007,Amelia County,commercial_activity,15.268351858354809,Ineligible: no interstate access,Not in a screened corridor
51007,Amelia County,competition,64.8166191975216,Ineligible: no interstate access,Not in a screened corridor
51007,Amelia County,overlap_risk,45.62035698285557,Ineligible: no interstate access,Not in a screened corridor
51009,Amherst County,market_demand,44.06212530166036,Ineligible: no interstate access,Not in a screened corridor
51009,Amherst County,growth,33.909748771956814,Ineligible: no interstate access,Not in a screened corridor
51009,Amherst County,purchasing_power,20.83564814654566,Ineligible: no interstate access,Not in a screened corridor
51009,Amherst County,highway_opportunity,19.96837063983957,Ineligible: no interstate access,Not in a screened corridor
