geoid,county_name,county_type,latitude,longitude,population,population_change_pct,median_household_income,nominal_income_change_pct,real_income_change_pct,max_interstate_segment_adt,distance_to_interstate_mi,nearest_store_distance_mi,nearest_open_store_distance_mi,gas_stations,gas_stations_per_10k,food_service_establishments,population_density,land_area_sq_mi,corridor,vdot_district,market_attractiveness_score,balanced_rank,highway_rank,growth_rank,affluent_rank,underserved_rank,market_demand_score,growth_score,purchasing_power_score,highway_opportunity_score,accessibility_score,commercial_activity_score,low_competition_score,low_overlap_risk_score,recommendation_status,recommendation_reason,overlap_review_flag,development_status,interstate_access_flag,traffic_data_available_flag
51059,Fairfax County,County,38.836768302800145,-77.27689179589706,1144474,0.08,150113.0,23.92,2.13,254000.0,2.56980997149505,30.589137669139628,95.33554600895249,189.0,1.65,2458.0,2926.9,391.0204471435265,I-95 / I-66 Northern Virginia,Northern Virginia,83.68914009912302,1,1,3,1,1,100.0,36.4375154438541,85.75241817359502,100.0,95.96643147205258,80.55741762018285,92.24798903251624,25.322168676211117,Feasibility constrained,"Population density 2,927 people per sq mi. Assembling an interchange-scale site of roughly 30 acres is a severe constraint.",FALSE,,TRUE,TRUE
51153,Prince William County,County,38.70285426152814,-77.48069284362847,484625,6.1,128873.0,24.58,2.67,206000.0,7.038686717529321,19.77779044782693,81.9826577914098,101.0,2.08,766.0,1445.5,335.25464288226186,I-95 / I-66 Northern Virginia,Northern Virginia,73.47740109698547,2,3,4,4,4,87.03188994047734,60.024821592797664,61.66705629090448,83.2710564931144,88.94224092544849,62.0165268343562,90.21695469005245,16.29230426009041,Overlap constrained,"Centroid 19.8 mi from an existing or planned store, inside the 30 mi screen",FALSE,,TRUE,TRUE
51013,Arlington County,County,38.878558909132785,-77.10105783530156,235463,1.58,140160.0,19.41,-1.59,191000.0,0.8384309828029255,37.25321330490246,105.23609266278042,34.0,1.44,620.0,9057.2,25.997413552321238,I-95 / I-66 Northern Virginia,Northern Virginia,72.71218050351989,3,5,9,2,3,75.72237277697069,40.92698716935119,93.68422951220057,72.9418338851762,98.68781687068825,66.94098702102755,93.22179422386249,30.88814470287001,Feasibility constrained,"Population density 9,057 people per sq mi. Assembling an interchange-scale site of roughly 30 acres is a severe constraint.",FALSE,,TRUE,TRUE
51810,Virginia Beach city,Independent city,36.73339332643818,-76.04338279163179,457066,1.54,90685.0,22.24,0.74,195000.0,7.156862513360813,74.56331335611061,193.85711948514282,100.0,2.19,1241.0,1867.7,244.7187944495137,I-64 / I-264 Hampton Roads,Hampton Roads,72.70482298362288,4,4,14,7,2,86.70657029843491,41.611740956489854,40.29377315330692,77.84213257193076,88.75649194307756,74.53267065870071,89.72978373655738,62.05032439405205,Priority candidate,"Eligible, balanced rank within top 25, and top 25 in at least 4 of 5 scenarios",FALSE,,TRUE,TRUE
51179,Stafford County,County,38.4206578790749,-77.45797518826544,160520,11.46,133792.0,25.31,3.26,260000.0,1.6690806279074277,0.27121202383091797,79.89962182802982,25.0,1.56,196.0,596.3,269.2050006783804,I-95 Fredericksburg / Stafford,Fredericksburg,72.11466843433239,5,2,1,5,8,69.36919236929577,81.06840788168137,64.89263765779394,89.92639532101462,97.38219988542215,44.73222218180854,92.68912492731954,0.0,Reference case,Existing or planned store in county (locally approved),FALSE,locally approved,TRUE,TRUE
51041,Chesterfield County,County,37.3785465144409,-77.58690247435551,371610,9.48,98910.0,23.31,1.62,131000.0,9.053435969326712,33.35424647360796,99.54616451965417,90.0,2.42,600.0,877.5,423.5056395134193,I-95 Richmond South,Richmond,67.91764612445503,6,10,5,9,9,82.73059237133398,72.781137465282,43.93177876820201,65.20507021469894,85.77545350827224,61.01707726216454,88.63122628562202,27.63164566266378,Priority candidate,"Eligible, balanced rank within top 25, and top 25 in at least 4 of 5 scenarios. Nearest existing or planned store is only 33.4 mi away, so trade-area overlap needs review before siting",TRUE,,TRUE,TRUE
51087,Henrico County,County,37.53796801327668,-77.40562848155969,334434,2.7,86397.0,25.99,3.83,160000.0,0.7794666376986279,22.509901783601475,100.42030798672724,93.0,2.78,709.0,1431.0,233.6985867172484,I-95 Richmond North,Richmond,67.45058781183414,7,6,16,10,11,81.03914076715007,47.23235713144826,40.242392256230026,71.9152973397108,98.78049716128609,67.24365734066592,86.94637805964705,18.57422106719811,Overlap constrained,"Centroid 22.5 mi from an existing or planned store, inside the 30 mi screen",FALSE,,TRUE,TRUE
51107,Loudoun County,County,39.090564893180705,-77.63567570003218,427082,10.89,178707.0,31.14,8.08,,18.02155880283585,47.470871586553,86.3174636819825,70.0,1.64,844.0,828.1,515.737212332883,Not in a screened corridor,Northern Virginia,67.00396385341745,8,20,2,3,12,84.34695130775327,80.5844373246565,100.0,32.6011958581149,71.67933781570572,68.7827686623713,92.3061223215526,39.42214763931022,Ineligible: no interstate access,No interstate crosses this jurisdiction,FALSE,,FALSE,FALSE
51177,Spotsylvania County,County,38.18508224977244,-77.65618628116643,143876,9.48,109576.0,28.41,5.83,190000.0,8.252267068255648,19.274232854847636,70.10412063262058,38.0,2.64,217.0,357.9,401.9683155475716,I-95 Fredericksburg / Stafford,Fredericksburg,65.60082707979072,9,8,7,12,15,67.8033610672746,74.29523939501975,49.24959925310157,73.60069369988514,87.03473259358836,48.214996665478544,87.60193963320266,15.871722375406566,Overlap constrained,"Centroid 19.3 mi from an existing or planned store, inside the 30 mi screen",FALSE,,TRUE,TRUE
51550,Chesapeake city,Independent city,36.6777572023492,-76.30225185637454,251153,5.61,94189.0,24.28,2.42,116000.0,5.535959542840731,68.38007061714114,184.85839632796865,73.0,2.91,506.0,742.1,338.4564004374053,I-64 / I-264 Hampton Roads,Hampton Roads,65.57989457884374,10,11,12,17,5,76.86748833380813,58.031808577774584,39.496394174417816,58.02989423291155,91.3042308872302,60.725367582368726,86.35595964743933,56.8859501082285,Priority candidate,"Eligible, balanced rank within top 25, and top 25 in at least 4 of 5 scenarios",FALSE,,TRUE,TRUE
